label,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_ankle_angle,right_ankle_angle,torso_to_horizontal,shoulder_width,hip_width,knee_width,ankle_width,left_femur_length,right_femur_length,left_tibia_length,right_tibia_length,left_torso_length,right_torso_length,left_arm_length,right_arm_length,hip_to_ankle_center,knee_to_ankle_ratio_left,knee_to_ankle_ratio_right,knee_forward_left,knee_forward_right
squat_good,63.51607041913888,62.04046276933901,61.91645453247989,65.59811090526594,52.41665014621653,53.45017322430236,82.57392880045249,1.1431034803390503,0.8568964004516602,1.3426613807678223,2.0811169147491455,5.309406757354736,4.333808898925781,6.025226593017578,4.869595527648926,7.734769344329834,7.027865409851074,3.468261241912842,4.293182373046875,5.3767242431640625,1.1348208441273455,1.1236292410647613,0.5142765045166016,0.7125353813171387
squat_good,73.706384926181,74.30976457209046,71.61044811788054,80.96891879130416,49.67433198567088,44.12764615468996,108.46024429495479,1.707363486289978,0.2926364541053772,1.1935386657714844,1.1433236598968506,6.160170078277588,5.102323055267334,6.747234344482422,6.443957328796387,9.253194808959961,8.473533630371094,3.678316593170166,4.194240093231201,7.3987274169921875,1.0952998315704212,1.2629455242349867,2.403921365737915,2.2246532440185547
squat_good,69.11951779293175,68.2346967527388,62.07327564262903,70.44252075239096,46.43654175550523,49.00846146300311,115.18080443078601,0.881385326385498,1.118614673614502,0.7519079446792603,2.1883914470672607,6.067549228668213,5.165978908538818,7.554285526275635,6.084906101226807,9.461065292358398,8.046004295349121,4.466966152191162,5.276116371154785,7.089489936828613,1.2450305710833398,1.1778803264738023,2.802129030227661,2.3882174491882324
squat_good,63.047280446944754,63.654062878394285,63.450072025982905,72.95318991709884,55.04609585348278,61.10777978024763,74.9238282209811,0.6448839902877808,1.3551160097122192,0.9075176119804382,2.168911933898926,5.315763473510742,4.769997596740723,5.721560955047607,4.47579288482666,7.492973804473877,6.309868812561035,3.259226083755493,3.670828104019165,5.329803466796875,1.0763383109915818,0.9383216355419707,1.1861162185668945,0.6997270584106445
squat_good,61.05441167236089,62.59291887332295,43.17474615968534,40.91327759466646,54.24849284526278,55.3966400232604,94.42417707807797,1.0007808208465576,0.9992192387580872,1.5217868089675903,1.9059016704559326,6.01397705078125,5.616940021514893,6.699456214904785,6.025908946990967,8.139890670776367,7.2702412605285645,3.338381052017212,3.4499921798706055,6.256716728210449,1.1139808223999899,1.072809723995602,1.4025611877441406,1.9409942626953125
squat_good,55.49117212151635,50.08920417353775,47.38416047988596,37.38326747315866,56.84654507234722,58.53538941683237,89.84281040263299,0.7165558338165283,1.2834440469741821,2.742518186569214,2.6570379734039307,8.121237754821777,7.842411041259766,8.972455024719238,8.712824821472168,11.4943208694458,10.29815673828125,5.164369106292725,5.349398612976074,7.506312370300293,1.1048135999439832,1.1109878919435843,1.1904726028442383,2.0453667640686035
squat_good,57.98061177728771,56.9889589371071,56.61228049692431,59.187358932538665,57.917517816923514,59.484044459686444,107.31989190819007,0.3642921447753906,1.635707974433899,0.6966544985771179,2.3974647521972656,10.34289836883545,8.930610656738281,10.981180191040039,9.279513359069824,14.434765815734863,12.848127365112305,15.381746292114258,13.678894996643066,9.521414756774902,1.0617119822443422,1.039068063391637,3.3913660049438477,2.543309211730957
squat_good,54.93430158816242,48.42917330356038,38.89067445075907,28.728679194619826,58.79570801893604,63.53583107594432,87.10250050267591,1.0473273992538452,0.9526727199554443,2.9818193912506104,2.5304605960845947,9.14470100402832,9.632627487182617,9.787542343139648,9.979096412658691,12.070472717285156,11.436042785644531,5.373043060302734,5.423467636108398,8.36674976348877,1.0702964775482189,1.0359681602936408,3.0283970832824707,3.9897143840789795
squat_good,76.58638746580684,77.01290279648482,73.0682810670162,77.84801988189808,49.11341341770578,46.67555472402809,119.50119958448377,1.4751901626586914,0.5248099565505981,1.2821540832519531,1.4258750677108765,8.331724166870117,7.275533676147461,8.949751853942871,8.321496963500977,11.39964771270752,10.173481941223145,4.510556221008301,5.160085201263428,10.23239517211914,1.0741775172241934,1.1437643189005282,4.3145036697387695,3.7980027198791504
squat_good,58.13153633980386,58.66986878348549,42.48178947075193,38.836923020244946,54.54225588753602,57.853585683931406,96.38637242072397,0.7566478252410889,1.2433521747589111,1.6525899171829224,2.285900354385376,7.465938568115234,7.13258695602417,8.457412719726562,7.53745174407959,10.39103889465332,9.372220039367676,4.502902507781982,4.560704708099365,7.475595474243164,1.1327995147249261,1.0567625370414777,1.3887214660644531,1.7261404991149902
